abbreviation,stname,cases2023
AL,Alabama,36
AK,Alaska,2
AZ,Arizona,16
AR,Arkansas,5
CA,California,109
CO,Colorado,32
CT,Connecticut,3230
DE,Delaware,325
DC,District of Columbia,108
FL,Florida,271
GA,Georgia,18
HI,Hawaii,0
ID,Idaho,7
IL,Illinois,372
IN,Indiana,167
IA,Iowa,212
KS,Kansas,12
KY,Kentucky,103
LA,Louisiana,15
ME,Maine,2942
MD,Maryland,2404
MA,Massachussetts,9682
MI,Michigan,1152
MN,Minnesota,2938
MS,Mississippi,4
MO,Missouri,16
MT,Montana,11
NE,Nebraska,5
NV,Nevada,14
NH,New Hampshire,1564
NJ,New Jersey,7106
NM,New Mexico,11
NY,New York,22122
NC,North Carolina,228
ND,North Dakota,15
OH,Ohio,1307
OK,Oklahoma,3
OR,Oregon,61
PA,Pennsylvania,16671
RI,Rhode Island,2852
SC,South Carolina,55
SD,South Dakota,7
TN,Tennessee,50
TX,Texas,27
UT,Utah,16
VT,Vermont,1445
VA,Virginia,1585
WA,Washington,25
WV,West Virginia,3233
WI,Wisconsin,6079
WY,Wyoming,2
